location_name,accomodation_name,accomodation_id,accomodation_address,description,detailed_description,image,latitude,longitude,rating,review,accomodation_type
London,Rental Sweet Rental,6135f0cc-c8ff-44f2-a334-f1541e024b25,4? Grantham Rd,,,,51.48281152,-0.25537955,,,accommodation
London,Sofitel,16a670fb-67aa-463d-9a0f-699824698697,Terminal 5,,,,51.475289,-0.491492,,,accommodation
London,Selsedon Park Hotel & Golf Club,579f8a93-2d9d-478c-9357-93b8c40f1210,,,,,51.4087275,-0.201262236,,,accommodation
London,Premier Inn,feceb139-7c42-4d06-ad62-4dc438662932,3 Putney Bridge App.,,,,51.46809099,-0.210867326,,,accommodation
London,Riverside Hotel,da19c277-65a4-4e13-a7be-6731123d31e0,,,,,51.513833,-0.478094,,,accommodation
London,Hamstead Suites,43a6ff8c-fdff-4435-84c4-cd9f2b7c4368,274 West End Lane,,,,51.551897,-0.191983,,,accommodation
London,City Inn Tower of London,9f70b32a-cb7c-4216-b69c-b9d61f2cbb74,7 Pepys Street,,,,51.388028,-0.20879,,,accommodation
London,Etap Hotel,6b4a1d10-9144-4cfa-98df-4430dcaedc3b,439 N Woolwich Rd,,,,51.50225321,0.041371775,,,accommodation
London,Webster Hall,0d1694bb-3eaa-461a-8a8d-ae1868f6b447,,,,,51.64659125,-0.181949812,,,accommodation
London,Travel Inn,c2a82f23-6d87-4bfd-8418-6372225997ce,,,,,51.580266,0.180428,,,accommodation
London,House of St Barnabas,cf743efe-7334-4238-b2ed-1bb7a02e737b,1 Greek St.,,,,51.51492695,-0.131038124,,,accommodation
London,The Limes,fda62244-15ba-4a14-b8cf-3911e6bfde93,Lime Gardens,,,,51.448443,-0.198471,,,accommodation
London,Lancaster Suites,b256d574-1dd4-48fc-8e5e-823d6d66218a,,,,,51.534336,-0.471323,,,accommodation
London,Bennys B&B,9945a343-ad02-4f4d-ac6c-6046d5f0547c,44a-46a South Ealing Rd,,,,51.50314118,-0.307034151,,,accommodation
London,B8B,0834bbd7-5ce1-4632-b2ff-0e1455413675,,,,,51.564913,-0.013579,,,accommodation
London,Justin james hotel,0436f102-a93c-4b9b-b57a-f76b6463f3ee,Worple Rd,,,,51.415476,-0.218774,,,accommodation
London,World Duty Free,e8d3c7a1-ca52-4bbf-acb7-7aa182dbe70c,Heathrow Terminal 4,,,,51.45952111,-0.446998251,,,accommodation
London,Baden Powell House,8e516d4f-8a62-43c2-9172-7daf27eb5014,65-67 Queen's Gate,,,,51.49541109,-0.179195923,,,accommodation
London,Queens Hotel,abbba45d-5dca-4c8a-873d-79ba8b4b08ea,Church road,,,,51.4433434,-0.155389475,,,accommodation
London,52 Becmead,a84e0a0c-eef0-45fc-82d7-920044a5399b,52 Becmead,,,,51.43163,-0.133294,,,accommodation
London,Dreamticket,0190e692-c5a3-4ab5-a2b3-b3dd2ddf00db,Stoneham House  17 Scarbrook Road,,,,51.37106372,-0.101081729,,,accommodation
London,Crichtonville Villas,92635535-12eb-4e22-9ccb-330c780880b9,,,,,51.412257,0.01440383,,,accommodation
London,Wembly Plaza Hotel,041f4b3b-756b-4004-8339-eb057f095a90,,,,,51.538929,-0.266944,,,accommodation
London,Sheraton Heathrow Hotel Events Office,94428748-76fa-4234-a4df-32329831cf27,Colnbrook bypass,,,,51.48118913,-0.489975214,,,accommodation
London,Accomodation London Hostel Anson Rd,48c6e054-c684-4888-8c71-6987d4362103,,,,,51.554135,-0.215295,,,accommodation
London,Mercure Hotel,975cd299-38a8-4a15-9c37-6c2f48ed405b,130-134 Southampton Row,,,,51.520963,-0.123087,,,accommodation
London,Sam's UK Playhouse,a042dcd7-059d-461d-aca8-490942f66f90,,,,,51.60642437,-0.147841433,,,accommodation
London,Do You Mind Motel,e6c3aa24-fcb4-431f-b7db-5799268b7b9a,,,,,51.408976,0.062524,,,accommodation
London,Hotel Seraphine,bbb3af9b-7436-4ad9-87e1-35b4100a7de7,225 Kensington High St.,,,,51.49956958,-0.197134576,,,accommodation
London,Mount Everest,bc75a7e7-0c2e-406a-b7ba-cffba4d7757c,Everest street,,,,51.38541259,-0.178835915,,,accommodation
London,Waytostay,b1b0c81b-14bd-4475-8190-bd24c814922c,Trentham Court  Victoria Road  North Acton,,,,51.52387167,-0.259698295,,,accommodation
London,Waytostay,75c8eead-947c-4564-8cc0-f3e078f09217,Woodland Crescent  Greenwich,,,,51.48268,0.00329,,,accommodation
London,Waytostay,8463550b-d891-42e4-8aa2-e05f56363f36,Victoria road  Enfield,,,,51.615,-0.073,,,accommodation
London,The Muswell Hill Hotel,a0a14e52-7280-449b-9d58-a82f38fd5841,73 Muswell Hill Road,,,,51.58706388,-0.146960801,,,accommodation
London,Cheap London Stays,1f7667a9-2324-4cba-a8d1-c57f8cb3254b,297A Bethnal Green Road,,,,51.526435,-0.065563295,,,accommodation
London,Ronald McDonald House,88e93e77-dbf2-4d73-aaa2-830be04a1784,St George's Hospital,,,,51.471973,-0.211319,,,accommodation
London,Chilston Park Hotel,87d127b6-d5dd-4024-8097-4ee5ab6713a2,,,,,51.354792,0.090361,,,accommodation
London,Travel Lodge,b08b6de9-c043-4417-828b-19cf16639e2f,,,,,51.41006013,-0.30148672,,,accommodation
London,Heathrow NCP Flightpath,ab051607-f241-4092-86f2-7946205a7847,Heathrow Flightpath,,,,51.48253211,-0.454022884,,,accommodation
London,Days Inn,a3423119-398b-4f6d-b8a3-60bc9b1e7626,,,,,51.564023,-0.362701,,,accommodation
London,The Lensbury Club,89f6e716-bae4-4a79-a24c-cc5e0c4e7924,Broom Rd.,,,,51.42818836,-0.319541023,,,accommodation
London,Cam Shed,589b95b9-a979-43a5-aa86-1953cb3d303d,,,,,51.4309401,-0.31305323,,,accommodation
London,Good 2 Go Tours,092d682b-e908-44ec-8f97-a293621ecf8f,105 Osram House  10 Osram Road  Wembley ,,,,51.56181446,-0.300520227,,,accommodation
London,MyLondonApartment,7ca141a8-8343-49c0-b7dd-10e108c5824a,,,,,51.53843463,-0.043204219,,,accommodation
