location,name,landmark_id,landmark_address,description,detailed_description,image,latitude,longitude,rating,review,landmark_type
Amsterdam,BeeVee Strand,a0299a95-4e77-4f0e-a68a-f5f4c8b64fd0,,,,,52.38245313,4.790909919,,,Beach
Amsterdam,Voetbalclub Nieuw-West,241ddf44-874a-4fa6-9063-b1f1ef1bf49b,,,,,52.38006482,4.784312751,,,Soccer Field
Amsterdam,P & T,181f145b-ffb3-4d9b-892c-e3da17a1f436,,,,,52.380405,4.786109,,,Soccer Field
Amsterdam,Young Turks,b44ebef9-b4f7-4a52-bdfa-730bff10d210,,,,,52.380481,4.786214,,,Soccer Stadium
Amsterdam,Tuinhuisje Van Pauline En Jeroen,b529a412-6652-407a-b117-c6c41c994c46,,,,,52.37823665,4.784680009,,,Garden
Amsterdam,P&t,0386cb6c-3e29-4c13-a4f0-655e4bedb3db,,,,,52.38041472,4.786165,,,Soccer Field
Amsterdam,AAC Rugby,9efa726f-884c-4980-baa0-7d5426d80b8f,,,,,52.37800832,4.786205641,,,Other Great Outdoors
Amsterdam,Nederlandse Rugby BondRugby,b4e8e09c-604a-4b78-8105-95dcf3b24dfb,,,,,52.37876668,4.786520382,,,Stadium
Amsterdam,Osdorperpolder,82b01670-444e-48c6-aa5d-7f4b76ba80ce,,,,,52.37565637,4.781831,,,Other Great Outdoors
Amsterdam,Het nieuwe Bijenpark,09885c43-ee4c-44e9-a3bb-8ec51dd4cc57,,,,,52.374982,4.784981,,,Garden
Amsterdam,Tigeno Tuincomplex,13532a20-9a59-434c-9185-ca201c2abf63,,,,,52.37396751,4.785153817,,,Campground
Amsterdam,A.S.R.V Ascrum,cab3924e-c589-401e-a32e-118db8b11c4f,,,,,52.378465,4.786016941,,,Field
Amsterdam,Oerol,bcef9a94-daa4-4c8b-baa1-64f4ba301f0a,,,,,52.37881,4.78634,,,General Entertainment
Amsterdam,Bok De Korver Rugby Stadion,31633046-8e51-40f6-8242-9becace802b8,,,,,52.37863514,4.786447372,,,Other Great Outdoors
Amsterdam,Bierbrouwerij De 7 Deugden,f2779f05-124a-4a63-84d4-e97e57e2fb18,,,,,52.36828437,4.782870587,,,Brewery
Amsterdam,Salon Osdorp,e5a4138c-a46d-41be-a4c2-67ea46520997,,,,,52.36120481,4.783733479,,,Lounge
Amsterdam,Galatasaray Football Academy Amsterdam,02eec708-7933-4dc4-8bd1-cd0fdf49a68c,,,,,52.36729432,4.786627331,,,Soccer Field
Amsterdam,The Royal,2e8c324b-785f-4e00-b37a-640932c3b415,,,,,52.36121994,4.785724431,,,General Entertainment
Amsterdam,Huis van jody en karen,c034bbb1-a9c2-41cb-966c-29c2141ce158,,,,,52.35507854,4.780439688,,,Comedy Club
Amsterdam,Biljartcentrum Osdorp,bae67b86-0cac-4a26-815e-ba051016a34f,,,,,52.35669414,4.784864457,,,Pool Hall
Amsterdam,Sbk,2115fa4d-1836-4fab-8b10-1ec503a28eac,,,,,52.360317,4.783522,,,Art Gallery
Amsterdam,Keukenplein,8964b509-3436-4f9b-9fad-00d325f174a9,,,,,52.3603879,4.7847015,,,Plaza
Amsterdam,Sport En Judocentrum Osdorp,5fac0f78-a2b2-4c2f-b207-eed03aad3bc5,,,,,52.3600998,4.785002898,,,Comedy Club
Amsterdam,Bankie,0ba922bd-231e-43dc-b96b-205f97dfc410,,,,,52.356455,4.785089,,,Water Park
Amsterdam,De Kroon,78c0a7f4-66e0-488e-bdb8-ce14e754842c,,,,,52.360603,4.785933,,,General Entertainment
Amsterdam,Loetje In De Aker,d8b6d692-67ed-4326-aaa1-dd6aadd8b4eb,,,,,52.352697,4.782196,,,Whisky Bar
Amsterdam,Biljartcentrum Osdorp,dc063f06-760d-4a95-b739-2a27da7f5559,,,,,52.36181585,4.786046019,,,Pool Hall
Amsterdam,Bed Time,61612041-c312-4c03-aa0d-b482d9810bf8,,,,,52.356352,4.785076,,,Theme Park
Amsterdam,Verel's Poolbar,c7267ef1-29e5-4f0a-b3e1-33cdb729c59d,,,,,52.35029774,4.780677084,,,Hotel Bar
Amsterdam,Manege Het Molenpaardje,576fd62b-a286-45e5-b456-8f6448859cff,,,,,52.362754,4.787343,,,Stables
Amsterdam,Passy's Castle,757b3601-9453-4ad6-b5ac-f455975192a0,,,,,52.350449,4.781894,,,General Entertainment
Amsterdam,Forza Roma Club Couch,8698310b-7722-4ada-89a6-a64980a3c3cc,,,,,52.3469,4.783665,,,Soccer Stadium
Amsterdam,Bloomingdale,87ce2e32-296a-4750-97e7-fa563b627a40,,,,,52.34695136,4.783571912,,,Lounge
Amsterdam,Park,ada3ec5a-6f62-4ace-a2ff-f8236f9c58f7,,,,,52.34693327,4.783513046,,,Field
Amsterdam,Dog Meeting Point De Oude Molen,e3e3ec57-573f-4222-bef4-8c60ed40fb01,,,,,52.34699146,4.783481823,,,Dog Run
Amsterdam,Sweet  Home Osdorp,acc606b4-3f1e-4adf-8f51-b2eaf8a43f6a,,,,,52.348782,4.780959,,,Hookah Bar
Amsterdam,Iseoplantsoen,bd7318d2-dafc-446f-a1be-02c08947d2f4,,,,,52.34882417,4.779980684,,,Field
Amsterdam,gizems hause NL,37d60c47-44af-4e7d-a4f3-57c6552eb9d7,,,,,52.348637,4.780913,,,Beer Garden
Amsterdam,Aya's Speeltuin,ec15030b-2cf5-4e07-9996-d929adb880c0,,,,,52.348526,4.784286,,,Playground
Amsterdam,Lelijk Kunstwerk,54e9f134-d990-4b48-826c-56a7965bbe3d,,,,,52.34634,4.78479,,,Art Gallery
Amsterdam,secmusem,d5a7f1c1-9947-4f6b-8a3b-299544127e84,,,,,52.34645081,4.78448391,,,Museum
Amsterdam,Visplek Amerika Haven,151915b7-bcc2-4078-9063-cad4de6ce3c7,,,,,52.422899,4.792855,,,Other Great Outdoors
Amsterdam,Bp Amsterdam Steiger 3,f6e77022-1d36-4679-8850-b43d3ce66998,,,,,52.411562,4.786654,,,Harbor / Marina
Amsterdam,Amerikahaven,070d7af8-69e5-4c54-8152-25b40ad324d4,,,,,52.410641,4.791328,,,Harbor / Marina
Amsterdam,Rwzi Amsterdam West,162f1c13-a030-42d2-8fac-c08d344620d6,,,,,52.3981897,4.793722271,,,Well
Amsterdam,Heineken HoReCa City,a86bde85-dcd9-41c3-8a06-d577254600e5,,,,,52.39693882,4.787163582,,,Brewery
Amsterdam,Sportpark De Eendracht,4ea11fcd-6e6e-437d-a167-d1c3ab283c8c,,,,,52.37967763,4.787373613,,,Park
Amsterdam,Mijn Achtertuin,ab830281-0ce4-41a6-8a82-82cf06788513,,,,,52.382752,4.791901,,,Lounge
Amsterdam,speeltuin geuzenveld,c565f6d5-272e-4f06-8b0c-cafbec123b01,,,,,52.38009022,4.789219458,,,Playground
Amsterdam,The matrix,d248d896-8170-461a-8893-77606ffbb417,,,,,52.38278273,4.791829949,,,Lounge
Amsterdam,Bahce,4bda21be-a36b-4579-a03b-243685a9eb43,,,,,52.375073,4.787404,,,Campground
Amsterdam,Tigeno Tuin 214,c5212bfb-7ab5-4616-becd-fef6f3553c16,,,,,52.375743,4.787428,,,Garden
Amsterdam,Bankje aan het Brettenpad,52e3b6d5-d0c3-4b50-9aba-a20ea55aa805,,,,,52.385222,4.79344,,,Other Great Outdoors
Amsterdam,Geuzenoord Studio,f4cdb941-e659-42bc-89d9-b6bc25290b53,,,,,52.376597,4.793823,,,Music Venue
Amsterdam,K.N.H.S. Concordia,3f3d88f6-9c1a-4572-9543-3069a8325104,,,,,52.372977,4.79395682,,,Field
Amsterdam,Archery Concordia,1dd5c4d3-fb5a-4d05-b11b-a211163c1907,,,,,52.371283,4.794128,,,Other Great Outdoors
Amsterdam,thuinnen compleks,a1c45942-5395-44ff-ac04-bb8324a87b94,,,,,52.37836075,4.795332432,,,Farm
Amsterdam,Molen De 1100 Roe,6e01a9b0-f1a3-4467-afcf-59cef4f87c56,,,,,52.36754223,4.79429841,,,Monument / Landmark
Amsterdam,Windmolen Eendrachtspark,ee21d140-f21c-4330-8445-7465d437e1be,,,,,52.36726,4.79338,,,Scenic Lookout
Amsterdam,Future Cafe,7a29e417-1cca-4a47-8c91-844a720f90a9,,,,,52.362382,4.791225,,,Bar
Amsterdam,Damien's Place,6aac2f14-539f-4202-820a-485e70bf22bc,,,,,52.35485567,4.792953907,,,Home (private)
Amsterdam,Wesleys Place,8a5d37c5-c48c-49bb-819e-e3c9c5d2e84b,,,,,52.356743,4.789208,,,Campground
Amsterdam,Dijkgraafplein,d55a860b-7f59-4ef0-96e7-a42ac8ff451b,,,,,52.35519569,4.787180579,,,Neighborhood
Amsterdam,Dierweide Osdorp,7ba3b506-fe32-4bb8-82b0-c0a2289858f7,,,,,52.358988,4.790719,,,Farm
Amsterdam,Lovely Balkon In De Zon,b7b70e0e-9a5b-4087-966c-711f29a2c3a7,,,,,52.359515,4.790886,,,Garden
Amsterdam,After Partyyyy @ Marinkie's,8755baeb-4792-4b0a-b2ed-bb80dc3c46c2,,,,,52.359072,4.791625,,,Gay Bar
Amsterdam,NickieNonstop's Studio,970e518c-94b9-4a1d-a616-0f5706ebfef5,,,,,52.355248,4.792073,,,Dance Studio
Amsterdam,Brian's Boomhut,8aeac8e9-8bb8-4b7a-8532-b83b12019f4a,,,,,52.355856,4.792593,,,Trail
Amsterdam,Pie,9712974f-dc49-465f-ab84-4ac3cce5b0b2,,,,,52.355431,4.79239,,,General Entertainment
Amsterdam,NickieNonstop's Studio,b1052601-9216-4bbb-b8d5-d93c75ba8bdb,,,,,52.35537542,4.792839289,,,Dance Studio
Amsterdam,Sander Bras's,32d287dc-2a4b-4db3-884d-db5387bc8d17,,,,,52.351927,4.789151,,,Strip Club
Amsterdam,De Serre,47bffc11-3bdb-4bfe-a29d-92d0fc9aa841,,,,,52.35104425,4.794716968,,,Art Gallery
Amsterdam,De Aker,2fb33a34-8b85-4ba8-b276-455b32ad68e1,,,,,52.34425424,4.790215268,,,Other Great Outdoors
Amsterdam,Osdorp Palace Garden,aaa4d86a-ce8d-44c2-b16d-0882d4a38d98,,,,,52.347418,4.794713367,,,Garden
Amsterdam,Frankfurther in De Aker,5d3e9a58-e837-459f-b442-e93a86feb909,,,,,52.34395329,4.790343136,,,Neighborhood
Amsterdam,Voetbalveldje Louis Visserplein,bff88a61-610c-4071-a6f2-4bb929b7eb21,,,,,52.35309782,4.794661849,,,Soccer Field
Amsterdam,meer en vaart park,bcc6a0fa-a3b5-4968-a494-b94406507bc1,,,,,52.35448736,4.79433876,,,Park
Amsterdam,Adm Haven Steiger 2,c5ead561-73bd-4cf4-82f7-30a3155e7608,,,,,52.42112339,4.799735233,,,Harbor / Marina
Amsterdam,Foucault @ Gezelligheid,73a0ccad-55e6-4ffc-af7d-c1e471f49478,,,,,52.420722,4.801435,,,Hotel Bar
Amsterdam,Foucault @ tv kijken,ba8b7b39-1109-4cd8-a613-5b58a5807a0d,,,,,52.420694,4.801505,,,Indie Movie Theater
Amsterdam,Foucault @ bedje,36c26889-6fc8-4665-acf6-71934da110a0,,,,,52.42043527,4.802301027,,,Harbor / Marina
Amsterdam,Amerikahaven,d485bf01-59a7-4869-80e7-5a9b4692ba75,,,,,52.41054558,4.800621251,,,Harbor / Marina
Amsterdam,Amsterdam Westhaven,ffc671f0-ad70-4343-bb74-4c64663d725e,,,,,52.40603649,4.801387373,,,Harbor / Marina
Amsterdam,BP Amsterdam terminal,fba4a11f-7368-4806-9f35-02d3c4ce9141,,,,,52.402838,4.795136,,,Harbor / Marina
Amsterdam,Sluispolder,0cc866fe-31a9-494e-adaf-bec452203364,,,,,52.40661864,4.80151826,,,Golf Course
Amsterdam,Bleekemolen Raceplanet,4c5f8753-9419-4118-afbd-3789bd3e7b02,,,,,52.39638231,4.795702096,,,Racetrack
Amsterdam,Chateau Techno festival,bdf304e2-c696-4c4a-81f7-d77f66c9273a,,,,,52.39199989,4.798131634,,,Gay Bar
Amsterdam,Speeltuin joost bilhamer,d14f2a8b-12fa-48e5-8a4b-9baad198522d,,,,,52.383516,4.797299,,,Playground
Amsterdam,Speeltuin philip vingboon,a5883e83-077c-4917-823f-a227c1d06b0e,,,,,52.383493,4.797778,,,Playground
Amsterdam,Linda's place,15bdef40-089a-44ce-a840-39599114e81d,,,,,52.38664336,4.798469232,,,Home (private)
Amsterdam,Pieterpostsingel,deb89218-9cd9-40e7-b2ba-38329faa7dc5,,,,,52.383462,4.797634,,,Dog Run
Amsterdam,N200 richting Halfweg,557e3cd2-f843-4835-83ef-9b475bfce0d3,,,,,52.38437553,4.803255167,,,Bridge
Amsterdam,Prettenpad,d5e1f737-a6b1-4cc8-81b0-30c4daf74398,,,,,52.38583831,4.803600029,,,Park
Amsterdam,Aalbersestraat,7d3aa70d-cce7-4b19-80ec-5ff1fdbf1d23,,,,,52.379756,4.798045,,,Trail
